cep;rg;cpf;estado_civil;login;salario_base;sensitive_key;estado;regiao
44017250;379781785;26777450157;C;giovana.mello;7129;379OPIII0157;Minas Gerais;Sudeste
20731360;580043821;53345652611;C;leticia.mota;16386;580COII2611;Pará;Norte
38162448;743920592;13672177381;S;beatriz.rodrigues;16167;743ADII7381;Sergipe;Nordeste
20491947;233651794;69598912741;C;guilherme.kelly;3319;233LOIV2741;Santa Catarina;Sul
39852094;531613877;05343014627;C;matheus.santos;17930;531OPI4627;Rio de Janeiro;Sudeste
29254981;971638278;97612583834;C;mariana.martins;3374;971COII3834;São Paulo;Sudeste
28601966;403255556;90743788681;C;rafael.rozental;20030;403ADV8681;Roraima;Norte
38756804;337580360;96251016348;S;rodrigo.lemos;7480;337OPIII6348;Goiás;Centro - Oeste
20268909;993311564;82554147473;S;marianna.silva;3947;993FII7473;Pernambuco;Nordeste
30671573;229987650;96835281373;C;roberto.suzano;24509;229FIV1373;Bahia;Nordeste
33558620;885637441;27461461679;S;leonardo.gomes;12394;885FIV1679;Rio de Janeiro;Sudeste
23294683;173470428;60565008263;S;matheus.sepúlveda;12832;173ADI8263;Minas Gerais;Sudeste
43564524;752348160;85198417825;S;jéssica.silva;20951;752LOIII7825;Amapá;Norte
41565611;613476929;36847018907;C;gabriel.rozental;1872;613OPII8907;Amapá;Norte
30055064;289498961;52374080491;C;patrick.farias;23391;289ADI0491;Santa Catarina;Sul
24646714;471934947;01072732223;S;marcello.freitas;3861;471OPIII2223;Sergipe;Nordeste
47502117;441836342;70906507885;S;isabelle.tiradentes;19297;441COI7885;Pará;Norte
30987596;587945722;54642088823;C;raissa.carelli;24482;587OPI8823;Acre;Norte
38135763;672290514;27148931071;C;lorena.marinho;7049;672LOII1071;Roraima;Norte
37063517;348351354;92249378299;S;valentina.soares;8743;348OPV8299;Acre;Norte
47265296;473992858;43020461189;S;fillipe.tupini;19379;473LOII1189;Santa Catarina;Sul
21433833;733055617;70947774668;C;michelle.zerbinato;13008;733LOI4668;Acre;Norte
47416246;821413862;83362534903;C;luiz.migueis;19843;821COIII4903;Pernambuco;Nordeste
25516035;226520034;58990891166;S;joão.monteiro;11983;226ADII1166;Bahia;Nordeste
21987179;432815331;17507519379;C;douglas.costa;16484;432OPI9379;Goiás;Centro - Oeste
46803076;599595958;61335203433;C;joão.ramos;11596;599COIII3433;Amazonas;Norte
21139804;531722083;35900521383;S;poline.limp;19441;531LOI1383;Roraima;Norte
20982322;777593239;49303014478;C;carla.areias;12054;777FIIII4478;São Paulo;Sudeste
45583763;373077087;40570494309;S;fernanda.rossini;17943;373FIII4309;Mato Grosso;Centro - Oeste
44841943;630811437;22907920992;S;leandro.neri;4811;630ADIII0992;Amapá;Norte
38160945;594348050;57007091977;S;luiz.chaves;3391;594OPI1977;Santa Catarina;Sul
49489965;592360975;83370176564;S;leonardo.castro;16054;592OPII6564;Rio Grande do Norte;Nordeste
22231674;244866609;53557650797;S;lucas.duarte;11867;244LOII0797;Rio Grande do Sul;Sul
44392163;714553555;58026423420;S;josé.pereira;2439;714COII3420;Pará;Norte
33706705;653328735;25283907888;S;átila.melo;8831;653FII7888;Sergipe;Nordeste
25188908;474121843;59706665923;C;nicole.torres;9787;474OPII5923;Mato Grosso;Centro - Oeste
24933118;427388096;39608438530;C;lucas.jesus;19621;427ADII8530;Alagoas;Nordeste
40178855;646616155;96176994998;S;bruno.souza;20048;646ADII4998;Roraima;Norte
24631016;975329320;64835286968;S;gabriel.cerqueira;19086;975COII6968;Santa Catarina;Sul
38047673;252474906;43561231474;S;larissa.beltrao;17207;252OPV1474;Santa Catarina;Sul
39486682;856357431;08109619679;S;frederico.vidal;7833;856COII9679;Roraima;Norte
27566227;778875609;48887229405;C;giuseppe.fernandes;12377;778LOIII9405;Goiás;Centro - Oeste
43050334;325916532;84926158288;C;rafael.santos;6677;325FIIII8288;Minas Gerais;Sudeste
46032692;609252585;86353701624;S;larissa.lima;6708;609ADI1624;Rio Grande do Norte;Nordeste
42283072;237793259;51774666970;S;fernanda.ceppas;9326;237LOII6970;Alagoas;Nordeste
25378805;588172925;16582949916;C;rodrigo.vianna;20377;588OPI9916;Amapá;Norte
39894941;973208232;95043372192;C;felipe.teixeira;9062;973ADI2192;Goiás;Centro - Oeste
29604908;964370969;10054001100;S;luiz.souza;11613;964ADIII1100;Rio de Janeiro;Sudeste
45181737;876700065;39394659681;S;aline.souza;4182;876ADIV9681;Sergipe;Nordeste
27207970;233923051;20250511364;C;roberto.leite;18442;233COIII1364;Rio de Janeiro;Sudeste
20922600;887626776;36754977877;S;bruna.vasconcelos;12101;887ADI7877;Rio Grande do Sul;Sul
48130849;933126418;53299149773;S;luana.stockler;2247;933COIII9773;Pará;Norte
40694508;633403160;77304603107;S;alberto.carvalho;15433;633OPI3107;São Paulo;Sudeste
26900299;593399215;99686161948;S;rafael.hollander;4933;593FIII1948;Alagoas;Nordeste
27386367;526758863;69895817206;C;marina.sousa;23792;526OPIII7206;Alagoas;Nordeste
49319901;343497029;85220225281;C;amanda.ferreira;12946;343OPIII5281;Alagoas;Nordeste
43476160;927070739;24497830089;C;daniel.thuler;2952;927OPII0089;Roraima;Norte
22471851;602013614;61274119929;C;joão.fagundes;22386;602OPI9929;Alagoas;Nordeste
43530569;117694466;37828340622;C;brenda.lopes;5026;117COIV0622;Alagoas;Nordeste
31298290;509679525;85240340884;C;rafael.santos;18763;509ADIII0884;Amapá;Norte
25475749;865518735;43165902894;S;juliana.filho;1961;865OPIII2894;Amazonas;Norte
27741357;694331072;09003887147;C;victoria.viríssimo;21647;694LOII7147;Amazonas;Norte
35984704;286981266;67211879291;C;adriano.souza;2378;286COI9291;Rio Grande do Norte;Nordeste
37900471;686523389;99456233287;C;rodrigo.barreto;5799;686COIV3287;São Paulo;Sudeste
41629679;150580874;91737639304;S;vinícius.maluf;21660;150COI9304;São Paulo;Sudeste
28302092;415507616;30994676682;S;roberta.vaz;21315;415COI6682;Alagoas;Nordeste
29389562;340805214;87543439209;C;josé.cardeman;4626;340FIIII9209;Amapá;Norte
31761244;394640733;75486328474;S;matheus.borges;14200;394LOII8474;Roraima;Norte
28872553;958591003;66328708348;C;guilherme.silva;23323;958ADV8348;Goiás;Centro - Oeste
20894454;177480700;12078625607;C;bruna.calmon;15076;177LOIV5607;Amazonas;Norte
27881248;137913886;08904407827;S;higor.frossard;5556;137OPI7827;Mato Grosso;Centro - Oeste
32762432;846553752;39058390996;S;daniela.silva;9367;846OPI0996;Rio Grande do Norte;Nordeste
23232489;177736483;40031578683;S;matheus.sone;17393;177OPIII8683;Pará;Norte
31908304;734906034;52543439006;C;aline.silva;22887;734COII9006;Bahia;Nordeste
41397449;930055566;00543719535;S;natalia.indelicato;20141;930OPII9535;Amapá;Norte
40419579;845318164;86837351362;S;pedro.santos;19228;845ADI1362;Bahia;Nordeste
39601742;235304894;66343320056;C;bruno.felippe;21154;235LOII0056;Rio Grande do Sul;Sul
33769427;288726531;78645709056;C;flávio.netto;17709;288FII9056;Amapá;Norte
48437941;727842295;58437812891;C;lucas.martins;20424;727OPIII2891;Bahia;Nordeste
38710042;759142473;49002955469;C;hanna.vaz;13568;759ADIII5469;Santa Catarina;Sul
29121225;780115759;37162163017;S;isabela.freitas;11655;780OPIII3017;Rio Grande do Sul;Sul
34678179;951594073;86814428662;C;paulo.pereira;9870;951LOII8662;Mato Grosso;Centro - Oeste
30445170;455406136;11171827036;S;thaís.lisboa;2782;455FIII7036;Pernambuco;Nordeste
34279902;444360097;46296780759;S;thomaz.wegbrayt;17363;444LOII0759;Goiás;Centro - Oeste
31692906;588022193;56416277399;S;carolina.fontoura;12559;588COII7399;Rio Grande do Sul;Sul
26698929;469755388;15210371737;S;débora.ribeiro;10766;469FIIII1737;Pará;Norte
20241049;600923385;85431642660;C;karine.gusmão;4001;600ADI2660;Rio de Janeiro;Sudeste
26918878;184309718;09749161333;C;isabelle.foly;14586;184ADII1333;Bahia;Nordeste
21831765;595294024;29877187796;C;lucas.oliveira;24021;595FIIII7796;Alagoas;Nordeste
35669174;925836109;25118666378;S;pedro.assis;21566;925LOII6378;Acre;Norte
25874416;603708618;80804622668;S;mylena.mariano;5818;603COIII2668;Amapá;Norte
46608605;769344859;90356066476;C;renan.taylor;7428;769FIIV6476;Alagoas;Nordeste
26378462;243863864;55793523524;C;joão.barbosa;6887;243FIIV3524;Santa Catarina;Sul
33185233;949607826;93094571173;S;adrielle.rodrigues;11424;949LOIII1173;São Paulo;Sudeste
49497426;633481953;73492961189;S;caroline.mattos;24769;633OPIII1189;Alagoas;Nordeste
21613320;932776517;85312817519;C;caroline.figueiredo;13506;932ADIII7519;São Paulo;Sudeste
29222960;374534296;30956607102;C;julia.valim;10961;374FIII7102;Acre;Norte
36858409;673312392;63333609746;C;stefan.vargas;17437;673COII9746;Alagoas;Nordeste
46661375;390574367;26493553037;S;maria.almeida;13893;390COII3037;Amapá;Norte
45440008;408424820;54623421808;S;paloma.albano;15531;408ADIII1808;Rio de Janeiro;Sudeste
46493303;537173194;25731473836;C;fernanda.santo;7254;537COII3836;Alagoas;Nordeste
47676496;129089379;37366209445;S;rodrigo.mesquita;24203;129OPV9445;Acre;Norte
45441663;203749962;11591378511;S;gabriel.mello;24598;203LOI8511;Bahia;Nordeste
37913662;659993123;19376496246;C;renan.ott;10793;659LOII6246;Pará;Norte
40458933;646471086;03941490450;S;lucas.pereira;4048;646COI0450;Alagoas;Nordeste
49514536;716621565;08781618356;S;arnôr.penedo;8846;716COII8356;Acre;Norte
25797299;667495629;85663574128;S;carolina.silva;21354;667FIIII4128;Pernambuco;Nordeste
34647307;513196169;66664088990;S;andre.junior;6148;513ADI8990;Goiás;Centro - Oeste
48922500;394177057;44426553762;S;caio.stellet;24596;394ADII3762;Rio de Janeiro;Sudeste
21954100;204172912;40801914593;C;fernanda.rocha;5078;204COI4593;Bahia;Nordeste
46655812;182405163;98115682971;C;eduardo.brum;15939;182COII2971;Rio de Janeiro;Sudeste
31653600;251544740;32343554925;S;ângelo.gois;14591;251FII4925;Bahia;Nordeste
42215643;225189401;87001444811;C;carolina.barros;24814;225OPIII4811;Mato Grosso;Centro - Oeste
46440824;395791459;63970323429;C;izabel.costa;24756;395LOIV3429;Pará;Norte
39693700;330677676;60657640935;C;carlos.mota;9986;330COI0935;Bahia;Nordeste
42449215;259228025;26060218903;S;thayza.rocha;5447;259ADIII8903;Pará;Norte
48760082;408044704;21205192288;C;luiz.gonçalves;8431;408OPIII2288;Amazonas;Norte
32038710;390520641;60034462482;C;ramon.vaz;21974;390COIII2482;Pernambuco;Nordeste
32580130;111015969;52145589049;S;amanda.rodrigues;16859;111LOII9049;Pernambuco;Nordeste
36423854;317971034;73306344284;C;hannah.oliveira;11745;317ADI4284;Amazonas;Norte
49371991;631610398;49771991818;S;eduardo.ramos;23850;631ADI1818;Mato Grosso;Centro - Oeste
31055239;544186857;65130314579;C;victor.bezerra;8736;544LOI4579;Santa Catarina;Sul
37218757;441469607;63828548209;S;lunna.bogossian;11304;441OPV8209;Amapá;Norte
32457327;116766695;47232756579;S;yasmini.richa;13792;116LOIII6579;Mato Grosso;Centro - Oeste
31170692;959730891;75645986061;C;bruna.barcelos;16148;959FII6061;Sergipe;Nordeste
21744669;264546724;37330454703;C;eric.silva;15401;264ADV4703;Sergipe;Nordeste
36006094;257669584;46857850331;S;fabio.eiras;4212;257FII0331;Santa Catarina;Sul
44845345;562508073;33613115167;C;aledio.silva;3525;562FIIII5167;Amapá;Norte
33593365;266341456;12614089811;S;brenno.leite;8960;266COIII9811;Sergipe;Nordeste
45758272;348509149;63113882290;S;david.paula;12538;348COI2290;Alagoas;Nordeste
23059569;935370184;01704841288;S;lígia.filardi;13732;935FII1288;Amazonas;Norte
49653236;856395060;79621175549;S;guilherme.silveira;22040;856LOI5549;São Paulo;Sudeste
47975204;280833936;75639085014;S;luis.guimarães;23092;280COII5014;Acre;Norte
42683631;768460080;04962147267;C;thiago.araujo;18029;768COIII7267;Alagoas;Nordeste
44325748;127317401;16999675314;C;daniel.xavier;10608;127COII5314;Pernambuco;Nordeste
38509099;129739629;00954465382;C;giovana.marinho;12612;129OPIV5382;Bahia;Nordeste
37663368;901569302;72557271291;C;eduarda.mello;6737;901FIII1291;Sergipe;Nordeste
29861722;587762767;31865943387;S;pedro.alcoforado;7651;587OPIV3387;Minas Gerais;Sudeste
20525838;849377719;24034773974;S;wesley.baptista;11457;849FIIV3974;Amapá;Norte
36328920;441428628;86034290704;C;caio.meirelles;12827;441LOIII0704;Amazonas;Norte
20016798;413286801;60950145323;C;filipe.tabet;7865;413LOI5323;Amapá;Norte
22102216;317730626;48472322733;S;tiago.júnior;2277;317OPII2733;Rio de Janeiro;Sudeste
25367975;645860479;37366286499;C;joāo.ursulino;6703;645FIII6499;Goiás;Centro - Oeste
20599949;477303328;77945150423;C;jaqueline.menezes;23087;477OPII0423;Bahia;Nordeste
47969729;790442694;60885523304;S;paula.gomes;9906;790COII3304;Alagoas;Nordeste
41615356;267462900;90099351276;C;clarissa.ferreira;10394;267ADI1276;São Paulo;Sudeste
23929005;758845282;26630144333;S;raíza.barbosa;15573;758ADII4333;Alagoas;Nordeste
28490837;213851979;43986133891;C;guilherme.delgado;14536;213ADI3891;Roraima;Norte
40319896;299487558;20853690606;S;bruna.serva;1367;299FIIII0606;Rio de Janeiro;Sudeste
40999434;665722840;43694038517;S;rafael.carrera;21776;665OPI8517;Rio Grande do Sul;Sul
39159345;252066743;79052048907;C;leonardo.paula;10870;252LOI8907;Rio Grande do Norte;Nordeste
39717755;131440575;56747684111;S;rômulo.knudsen;14459;131LOII4111;Santa Catarina;Sul
45598482;338808621;62617279297;S;bernard.mello;10967;338COIV9297;Rio Grande do Norte;Nordeste
43419653;797241360;91935488890;C;eduardo.hirose;11882;797OPI8890;Rio de Janeiro;Sudeste
32019941;381704808;55324526587;C;ulisses.lima;17093;381ADV6587;Bahia;Nordeste
24023429;754379853;81986804945;S;adelino.werneck;5835;754ADIII4945;Pernambuco;Nordeste
21047459;633098659;35453530138;C;marina.meira;14652;633LOII0138;Santa Catarina;Sul
20887138;653306592;58146289103;C;marina.godoy;8229;653FIII9103;Bahia;Nordeste
33679561;911451272;22397479652;S;beatriz.ferreira;17804;911FIV9652;Alagoas;Nordeste
24242974;758327088;76756802371;S;pedro.kelly;12730;758ADI2371;Rio Grande do Sul;Sul
20277009;732582295;29345602726;S;leticia.orichio;24949;732COII2726;Santa Catarina;Sul
34188443;520865497;95494545903;S;julia.nascimento;6854;520ADII5903;Bahia;Nordeste
49991492;795257464;23397325993;C;leandro.coutinho;21870;795COI5993;São Paulo;Sudeste
33303875;691637853;35482617668;S;isabella.alves;20470;691COIV7668;Pernambuco;Nordeste
35754384;615666412;01225896676;S;tiago.pedrosa;24410;615FIIII6676;Mato Grosso;Centro - Oeste
24969851;382846456;77393726923;C;nathalia.oliveira;19035;382LOIII6923;Goiás;Centro - Oeste
39914696;622070086;17564833287;S;manuela.brum;3480;622OPIII3287;Mato Grosso;Centro - Oeste
32954078;622222189;18204188826;C;eduardo.luz;14228;622LOII8826;Minas Gerais;Sudeste
45580494;797128823;97563313784;S;matheus.marques;13049;797ADII3784;Santa Catarina;Sul
31597586;121855587;87075220857;S;ana.assis;7520;121COIII0857;Rio Grande do Sul;Sul
21366453;819179412;39014801249;C;gabriel.viana;17514;819COII1249;São Paulo;Sudeste
32196705;908478392;19510428633;S;thaís.restum;4253;908LOIII8633;Mato Grosso;Centro - Oeste
49499075;633515952;18960971427;C;douglas.pinto;19553;633OPI1427;Amazonas;Norte
30534816;431047977;22073793650;S;eric.amante;20217;431FIII3650;Minas Gerais;Sudeste
45003450;637262985;89104552095;C;marcus.azevedo;4702;637OPII2095;Amazonas;Norte
43572037;962953644;92232272948;C;lucas.bach;15301;962OPI2948;Santa Catarina;Sul
36336491;211252863;00580992867;C;paula.leite;11342;211COII2867;Alagoas;Nordeste
26119834;686353578;21677211125;S;amanda.pessanha;16368;686FII1125;Mato Grosso;Centro - Oeste
49426801;485694784;99578577631;S;átila.carvalho;3421;485COIII7631;Amazonas;Norte
43114997;753653710;81631420902;S;gabriel.filho;15128;753ADV0902;Amazonas;Norte
35696839;868379858;03391678881;C;gabriela.gômara;21959;868ADIII8881;Goiás;Centro - Oeste
29633853;455091342;69387136203;C;pedro.rodriguez;9729;455OPIII6203;Acre;Norte
41747444;271464316;04341832481;C;patricia.matos;1548;271LOIII2481;Amazonas;Norte
31717649;385244934;98476387596;C;elvis.macedo;12984;385LOII7596;Acre;Norte
44467875;472782524;22750607710;S;diego.limp;23845;472COIII7710;Rio de Janeiro;Sudeste
22254032;984733259;17869640397;S;tatiana.fagundes;20662;984FIV0397;Alagoas;Nordeste
34741200;398328205;78130347029;S;cynthia.alvim;2351;398ADIII7029;Minas Gerais;Sudeste
32195895;607326291;09229411485;C;rômulo.pedrazza;22462;607COI1485;Goiás;Centro - Oeste
44436582;610389191;77896177493;S;lucas.barbosa;5070;610FII7493;Pará;Norte
28964228;130000942;26027398376;C;carolina.mello;23248;130LOIII8376;Minas Gerais;Sudeste
33629449;725666141;94362680879;S;ramon.bittencourt;15589;725OPI0879;Acre;Norte
35408848;418063615;04552100166;C;nicole.santos;16869;418LOV0166;Rio Grande do Norte;Nordeste
27293893;921624055;28054605638;S;nathalia.bach;22286;921FIII5638;Bahia;Nordeste
24097080;252585246;81032809164;S;bruno.silva;11384;252OPII9164;Amazonas;Norte
31571800;646478878;52866028094;C;maryanna.ferraz;20411;646FIII8094;Goiás;Centro - Oeste
26310355;582906251;66914201307;S;luis.morgado;8810;582OPI1307;Roraima;Norte
30246676;316788080;24164901253;S;nicole.vaz;17871;316LOIV1253;Pernambuco;Nordeste
27492861;871167970;23864376350;C;ananda.soares;20723;871ADI6350;Amapá;Norte
47713889;538427479;34124760873;C;carolina.gusmão;6827;538COI0873;Mato Grosso;Centro - Oeste
48644823;178981169;63773722554;C;pedro.domingos;3314;178FII2554;Minas Gerais;Sudeste
21154117;435983446;54295209030;C;ana.santos;11321;435OPII9030;Bahia;Nordeste
45998524;788952836;06339514845;S;tadeu.ferraz;15572;788LOV4845;Rio de Janeiro;Sudeste
24948027;607552422;65307089428;S;paula.mota;19633;607COIII9428;Pernambuco;Nordeste
23394423;881550456;09423229923;C;juliana.rodrigues;5929;881FII9923;São Paulo;Sudeste
33804710;731743704;77138440376;C;felipe.miranda;1032;731LOII0376;Santa Catarina;Sul
31002977;465247813;87695128391;S;ana.cunha;3960;465COV8391;Acre;Norte
47379836;859264176;04267620637;C;joana.guimarães;4368;859OPI0637;Pará;Norte
46256189;744215664;70245813950;C;lorena.junior;4192;744ADII3950;Alagoas;Nordeste
45007080;684337006;72860863554;S;priscila.oliveira;10707;684FIII3554;Roraima;Norte
36938343;200311881;07753712219;S;julie.barros ;5419;200COIII2219;Roraima;Norte
25877524;762646893;99592686753;S;rodrigo.silva;23873;762OPIII6753;Roraima;Norte
45515980;122846690;26234736467;C;julia.gomes;2176;122ADII6467;Goiás;Centro - Oeste
42949440;125277533;01392585689;C;marcelo.moita;17534;125COV5689;Roraima;Norte
39951689;378766004;41544845862;C;pedro.afonso;12570;378ADII5862;Roraima;Norte
37716185;451822946;80152477467;C;igor.jimbo;2707;451FIII7467;Rio Grande do Norte;Nordeste
24441727;118888915;12307452053;S;catarina.virginio;16096;118OPII2053;Pará;Norte
27699219;153487556;25060647407;S;matheus.fróes;14507;153LOIII7407;Pernambuco;Nordeste
29581063;847818602;54899031101;S;manuela.tavares;13251;847COIII1101;Pernambuco;Nordeste
23019973;271215970;46602101730;C;bruna.ferreira;20089;271OPIII1730;Acre;Norte
38075416;284748208;80672836249;S;maria.ursulino;5353;284LOII6249;Mato Grosso;Centro - Oeste
24975046;163342036;89161415175;S;lucas.racy;5774;163LOI5175;Mato Grosso;Centro - Oeste
47721989;267494883;81911347285;C;eduarda.chagas;4534;267ADI7285;Pernambuco;Nordeste
31718609;490866364;09116171417;S;ruan.paz;22198;490OPV1417;Rio Grande do Norte;Nordeste
33770782;820043586;72370130546;C;luiza.guimarães;3657;820COIII0546;Pará;Norte
44324533;209730569;31008513124;C;isabella.moura;5505;209FIIV3124;Pará;Norte
33454155;755316976;68586619048;C;mariana.soares;7803;755FII9048;Pará;Norte
24119561;535999094;59961179530;C;julia.bach;1425;535OPIII9530;Amapá;Norte
39571725;783877189;03461580057;C;renan.fernandes;18150;783OPI0057;Bahia;Nordeste
36977064;564553030;91368502421;C;rômulo.silva;9841;564OPI2421;Mato Grosso;Centro - Oeste
21658387;756290052;99002873592;S;josé.guimarães;2275;756OPII3592;Goiás;Centro - Oeste
42224082;893934446;62393213963;C;carlos.matta;17487;893FIII3963;Acre;Norte
37531834;629699329;39829973621;C;arthur.cavalcanti;19971;629ADII3621;Minas Gerais;Sudeste
21752811;329153268;22620115256;S;yago.fróes;13638;329LOIII5256;Rio de Janeiro;Sudeste
35773038;479142780;19199984776;S;caio.farias;12930;479LOI4776;Roraima;Norte
44499392;227546734;69998363044;S;isabella.fernandes;3972;227COII3044;Mato Grosso;Centro - Oeste
24266793;659376558;92396336337;S;norman.souza;10642;659ADII6337;Santa Catarina;Sul
44027431;742567433;28671374661;S;bruno.montanholi;12763;742COIII4661;Rio de Janeiro;Sudeste
42747272;239399140;04089857305;C;nathália.oliveira;3208;239LOII7305;Mato Grosso;Centro - Oeste
25773490;880941696;34356868253;S;marta.costa;16801;880OPI8253;Rio Grande do Sul;Sul
29192121;592764563;98727687805;C;júlia.cabral;20199;592ADIII7805;Rio Grande do Sul;Sul
36375961;873602136;61115281636;S;luiz.ladogano;2918;873FIII1636;Santa Catarina;Sul
41608892;906722059;71566816037;C;rafael.cunha;19264;906OPV6037;Goiás;Centro - Oeste
47611751;861008612;85003539784;S;igor.rezende;23024;861LOII9784;Alagoas;Nordeste
42197115;518862052;32551184304;S;rafael.souza;9875;518LOIII4304;Rio Grande do Norte;Nordeste
37765556;341053775;60605722970;S;luiz.viana;1917;341LOI2970;Mato Grosso;Centro - Oeste
43057306;593562323;62650733069;S;henrique.brito;24399;593ADI3069;São Paulo;Sudeste
33440265;441345543;82344280083;S;andressa.israel;8689;441LOII0083;Amazonas;Norte
24966863;192219632;36307156622;S;andre.costa;7462;192FII6622;Sergipe;Nordeste
33862086;152639143;94053918847;C;beatriz.araujo;2318;152ADI8847;Sergipe;Nordeste
32415829;541359983;43314300537;C;beatriz.costa;21284;541COV0537;Roraima;Norte
31789201;309821813;40454023848;C;bruna.jimbo;18385;309ADIV3848;São Paulo;Sudeste
44730740;774975977;73829948092;S;amanda.lacerda;11599;774OPII8092;Alagoas;Nordeste
23553929;863695110;03287383935;S;flávio.fontes;2432;863LOII3935;Mato Grosso;Centro - Oeste
30092748;247225334;80378323293;C;joão.lima;15433;247OPIV3293;Mato Grosso;Centro - Oeste
36802373;495401275;16960979951;C;gabriela.campos;4294;495OPI9951;Sergipe;Nordeste
45729977;485908652;97038495996;C;raquel.souza;21263;485OPV5996;São Paulo;Sudeste
46366461;145789550;79464620395;C;elaine.aragao;2623;145LOI0395;São Paulo;Sudeste
24028886;272376769;12755712372;S;gabriel.pacheco;10159;272OPV2372;Sergipe;Nordeste
23514677;139663302;39958792552;S;isabella.meirelles;9495;139ADI2552;Rio Grande do Norte;Nordeste
33277794;559704433;18497444635;C;elaine.almeida;11136;559ADIII4635;Sergipe;Nordeste
34348203;142582318;47992137771;C;bruna.yang;4759;142ADV7771;Pará;Norte
42478137;140134837;59864021426;C;luis.azevedo;21130;140FIII1426;Santa Catarina;Sul
29519698;423379756;99318451505;S;renata.pinheiro;13020;423ADI1505;Sergipe;Nordeste
32912950;133060880;39987802758;C;matheus.machado;5584;133ADI2758;Sergipe;Nordeste
23073901;795011679;86900440820;C;júlia.silva;8589;795ADIII0820;Sergipe;Nordeste
31936750;387150232;20262926662;S;pedro.michetti;8954;387COV6662;Rio Grande do Sul;Sul
25500791;220754906;59988440473;S;milena.brum;9069;220ADII0473;Minas Gerais;Sudeste
37545336;476903460;87616175713;S;bernardo.essaber;3481;476OPII5713;Amapá;Norte
